,ARQUIVO,WINER
0,pca_media_rank_biclasse_solid_angle_4_MLP_geo.csv,DELAUNAY
1,pca_media_rank_biclasse_max_solid_angle_9_KNN_iba.csv,DELAUNAY
2,pca_media_rank_biclasse_area_4_DTREE_auc.csv,SMOTE_SVM
3,pca_media_rank_biclasse_min_solid_angle_1_SVM_auc.csv,SMOTE
4,pca_media_rank_biclasse_radius_ratio_9_DTREE_geo.csv,SMOTE_SVM
5,pca_media_rank_biclasse_radius_ratio_4_GNB_geo.csv,SMOTE
6,pca_media_rank_biclasse_min_solid_angle_1_LRG_iba.csv,BORDERLINE1
7,pca_media_rank_biclasse_radius_ratio_1_RF_geo.csv,BORDERLINE2
8,pca_media_rank_biclasse_aspect_ratio_1_ABC_geo.csv,BORDERLINE2
9,pca_media_rank_biclasse_area_1_DTREE_auc.csv,SMOTE_SVM
10,pca_media_rank_biclasse_area_1_GNB_geo.csv,SMOTE
11,pca_media_rank_biclasse_radius_ratio_9_GNB_iba.csv,SMOTE
12,pca_media_rank_biclasse_min_solid_angle_9_QDA_iba.csv,SMOTE
13,pca_media_rank_biclasse_volume_9_GNB_auc.csv,SMOTE
14,pca_media_rank_biclasse_min_solid_angle_4_DTREE_iba.csv,SMOTE_SVM
15,pca_media_rank_biclasse_edge_ratio_1_ABC_iba.csv,SMOTE
16,pca_media_rank_biclasse_solid_angle_4_MLP_iba.csv,DELAUNAY
17,pca_media_rank_biclasse_area_volume_ratio_4_RF_iba.csv,DELAUNAY
18,pca_media_rank_biclasse_solid_angle_9_DTREE_iba.csv,SMOTE_SVM
19,pca_media_rank_biclasse_radius_ratio_4_QDA_iba.csv,SMOTE
20,pca_media_rank_biclasse_min_solid_angle_4_ABC_geo.csv,DELAUNAY
21,pca_media_rank_biclasse_max_solid_angle_1_SGD_auc.csv,SMOTE
22,pca_media_rank_biclasse_radius_ratio_9_SVM_geo.csv,SMOTE
23,pca_media_rank_biclasse_min_solid_angle_9_SVM_iba.csv,SMOTE
24,pca_media_rank_biclasse_aspect_ratio_4_QDA_iba.csv,DELAUNAY
25,pca_media_rank_biclasse_max_solid_angle_1_SGD_geo.csv,SMOTE
26,pca_media_rank_biclasse_edge_ratio_4_LRG_auc.csv,BORDERLINE1
27,pca_media_rank_biclasse_aspect_ratio_1_QDA_auc.csv,SMOTE_SVM
28,pca_media_rank_biclasse_volume_9_KNN_geo.csv,BORDERLINE1
29,pca_media_rank_biclasse_area_9_DTREE_auc.csv,SMOTE_SVM
30,pca_media_rank_biclasse_volume_4_SGD_iba.csv,SMOTE
31,pca_media_rank_biclasse_min_solid_angle_1_KNN_iba.csv,BORDERLINE1
32,pca_media_rank_biclasse_aspect_ratio_1_SVM_auc.csv,SMOTE
33,pca_media_rank_biclasse_solid_angle_1_SVM_geo.csv,SMOTE
34,pca_media_rank_biclasse_area_1_SGD_iba.csv,SMOTE
35,pca_media_rank_biclasse_volume_1_RF_iba.csv,BORDERLINE2
36,pca_media_rank_biclasse_edge_ratio_1_DTREE_iba.csv,SMOTE_SVM
37,pca_media_rank_biclasse_area_1_DTREE_geo.csv,SMOTE_SVM
38,pca_media_rank_biclasse_min_solid_angle_9_SVM_geo.csv,SMOTE
39,pca_media_rank_biclasse_max_solid_angle_1_SGD_iba.csv,SMOTE
40,pca_media_rank_biclasse_area_volume_ratio_1_GNB_auc.csv,SMOTE
41,pca_media_rank_biclasse_solid_angle_4_QDA_geo.csv,DELAUNAY
42,pca_media_rank_biclasse_solid_angle_4_SGD_auc.csv,SMOTE
43,pca_media_rank_biclasse_max_solid_angle_9_DTREE_auc.csv,SMOTE_SVM
44,pca_media_rank_biclasse_area_volume_ratio_1_KNN_iba.csv,BORDERLINE1
45,pca_media_rank_biclasse_volume_1_MLP_geo.csv,BORDERLINE2
46,pca_media_rank_biclasse_max_solid_angle_9_SVM_auc.csv,SMOTE
47,pca_media_rank_biclasse_max_solid_angle_9_LRG_auc.csv,BORDERLINE1
48,pca_media_rank_biclasse_volume_1_DTREE_geo.csv,SMOTE_SVM
49,pca_media_rank_biclasse_solid_angle_1_GNB_auc.csv,SMOTE
50,pca_media_rank_biclasse_edge_ratio_9_QDA_auc.csv,DELAUNAY
51,pca_media_rank_biclasse_area_volume_ratio_1_KNN_auc.csv,BORDERLINE1
52,pca_media_rank_biclasse_radius_ratio_4_DTREE_iba.csv,SMOTE_SVM
53,pca_media_rank_biclasse_min_solid_angle_1_SGD_auc.csv,SMOTE
